,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
155,15.0,6,250.0,72.0,3432,21.0,75,USA,mercury monarch
156,15.0,6,250.0,72.0,3158,19.5,75,USA,ford maverick
157,16.0,8,400.0,170.0,4668,11.5,75,USA,pontiac catalina
158,15.0,8,350.0,145.0,4440,14.0,75,USA,chevrolet bel air
159,16.0,8,318.0,150.0,4498,14.5,75,USA,plymouth grand fury
160,14.0,8,351.0,148.0,4657,13.5,75,USA,ford ltd
161,17.0,6,231.0,110.0,3907,21.0,75,USA,buick century
162,16.0,6,250.0,105.0,3897,18.5,75,USA,chevroelt chevelle malibu
163,15.0,6,258.0,110.0,3730,19.0,75,USA,amc matador
164,18.0,6,225.0,95.0,3785,19.0,75,USA,plymouth fury
165,21.0,6,231.0,110.0,3039,15.0,75,USA,buick skyhawk
166,20.0,8,262.0,110.0,3221,13.5,75,USA,chevrolet monza 2+2
167,13.0,8,302.0,129.0,3169,12.0,75,USA,ford mustang ii
168,29.0,4,97.0,75.0,2171,16.0,75,Japan,toyota corolla
169,23.0,4,140.0,83.0,2639,17.0,75,USA,ford pinto
170,20.0,6,232.0,100.0,2914,16.0,75,USA,amc gremlin
171,23.0,4,140.0,78.0,2592,18.5,75,USA,pontiac astro
172,24.0,4,134.0,96.0,2702,13.5,75,Japan,toyota corona
173,25.0,4,90.0,71.0,2223,16.5,75,Europe,volkswagen dasher
174,24.0,4,119.0,97.0,2545,17.0,75,Japan,datsun 710
175,18.0,6,171.0,97.0,2984,14.5,75,USA,ford pinto
176,29.0,4,90.0,70.0,1937,14.0,75,Europe,volkswagen rabbit
177,19.0,6,232.0,90.0,3211,17.0,75,USA,amc pacer
178,23.0,4,115.0,95.0,2694,15.0,75,Europe,audi 100ls
179,23.0,4,120.0,88.0,2957,17.0,75,Europe,peugeot 504
180,22.0,4,121.0,98.0,2945,14.5,75,Europe,volvo 244dl
181,25.0,4,121.0,115.0,2671,13.5,75,Europe,saab 99le
182,33.0,4,91.0,53.0,1795,17.5,75,Japan,honda civic cvcc
183,28.0,4,107.0,86.0,2464,15.5,76,Europe,fiat 131
184,25.0,4,116.0,81.0,2220,16.9,76,Europe,opel 1900
185,25.0,4,140.0,92.0,2572,14.9,76,USA,capri ii
186,26.0,4,98.0,79.0,2255,17.7,76,USA,dodge colt
187,27.0,4,101.0,83.0,2202,15.3,76,Europe,renault 12tl
188,17.5,8,305.0,140.0,4215,13.0,76,USA,chevrolet chevelle malibu classic
189,16.0,8,318.0,150.0,4190,13.0,76,USA,dodge coronet brougham
190,15.5,8,304.0,120.0,3962,13.9,76,USA,amc matador
191,14.5,8,351.0,152.0,4215,12.8,76,USA,ford gran torino
192,22.0,6,225.0,100.0,3233,15.4,76,USA,plymouth valiant
193,22.0,6,250.0,105.0,3353,14.5,76,USA,chevrolet nova
194,24.0,6,200.0,81.0,3012,17.6,76,USA,ford maverick
195,22.5,6,232.0,90.0,3085,17.6,76,USA,amc hornet
196,29.0,4,85.0,52.0,2035,22.2,76,USA,chevrolet chevette
197,24.5,4,98.0,60.0,2164,22.1,76,USA,chevrolet woody
198,29.0,4,90.0,70.0,1937,14.2,76,Europe,vw rabbit
199,33.0,4,91.0,53.0,1795,17.4,76,Japan,honda civic
200,20.0,6,225.0,100.0,3651,17.7,76,USA,dodge aspen se
201,18.0,6,250.0,78.0,3574,21.0,76,USA,ford granada ghia
202,18.5,6,250.0,110.0,3645,16.2,76,USA,pontiac ventura sj
203,17.5,6,258.0,95.0,3193,17.8,76,USA,amc pacer d/l
204,29.5,4,97.0,71.0,1825,12.2,76,Europe,volkswagen rabbit
205,32.0,4,85.0,70.0,1990,17.0,76,Japan,datsun b-210
206,28.0,4,97.0,75.0,2155,16.4,76,Japan,toyota corolla
207,26.5,4,140.0,72.0,2565,13.6,76,USA,ford pinto
208,20.0,4,130.0,102.0,3150,15.7,76,Europe,volvo 245
209,13.0,8,318.0,150.0,3940,13.2,76,USA,plymouth volare premier v8
210,19.0,4,120.0,88.0,3270,21.9,76,Europe,peugeot 504
211,19.0,6,156.0,108.0,2930,15.5,76,Japan,toyota mark ii
212,16.5,6,168.0,120.0,3820,16.7,76,Europe,mercedes-benz 280s
213,16.5,8,350.0,180.0,4380,12.1,76,USA,cadillac seville
214,13.0,8,350.0,145.0,4055,12.0,76,USA,chevy c10
215,13.0,8,302.0,130.0,3870,15.0,76,USA,ford f108
216,13.0,8,318.0,150.0,3755,14.0,76,USA,dodge d100
217,31.5,4,98.0,68.0,2045,18.5,77,Japan,honda accord cvcc
218,30.0,4,111.0,80.0,2155,14.8,77,USA,buick opel isuzu deluxe
219,36.0,4,79.0,58.0,1825,18.6,77,Europe,renault 5 gtl
220,25.5,4,122.0,96.0,2300,15.5,77,USA,plymouth arrow gs
221,33.5,4,85.0,70.0,1945,16.8,77,Japan,datsun f-10 hatchback
222,17.5,8,305.0,145.0,3880,12.5,77,USA,chevrolet caprice classic
223,17.0,8,260.0,110.0,4060,19.0,77,USA,oldsmobile cutlass supreme
224,15.5,8,318.0,145.0,4140,13.7,77,USA,dodge monaco brougham
225,15.0,8,302.0,130.0,4295,14.9,77,USA,mercury cougar brougham
226,17.5,6,250.0,110.0,3520,16.4,77,USA,chevrolet concours
227,20.5,6,231.0,105.0,3425,16.9,77,USA,buick skylark
228,19.0,6,225.0,100.0,3630,17.7,77,USA,plymouth volare custom
229,18.5,6,250.0,98.0,3525,19.0,77,USA,ford granada
230,16.0,8,400.0,180.0,4220,11.1,77,USA,pontiac grand prix lj
231,15.5,8,350.0,170.0,4165,11.4,77,USA,chevrolet monte carlo landau
232,15.5,8,400.0,190.0,4325,12.2,77,USA,chrysler cordoba
233,16.0,8,351.0,149.0,4335,14.5,77,USA,ford thunderbird
234,29.0,4,97.0,78.0,1940,14.5,77,Europe,volkswagen rabbit custom
235,24.5,4,151.0,88.0,2740,16.0,77,USA,pontiac sunbird coupe
236,26.0,4,97.0,75.0,2265,18.2,77,Japan,toyota corolla liftback
237,25.5,4,140.0,89.0,2755,15.8,77,USA,ford mustang ii 2+2
238,30.5,4,98.0,63.0,2051,17.0,77,USA,chevrolet chevette
239,33.5,4,98.0,83.0,2075,15.9,77,USA,dodge colt m/m
240,30.0,4,97.0,67.0,1985,16.4,77,Japan,subaru dl
241,30.5,4,97.0,78.0,2190,14.1,77,Europe,volkswagen dasher
242,22.0,6,146.0,97.0,2815,14.5,77,Japan,datsun 810
243,21.5,4,121.0,110.0,2600,12.8,77,Europe,bmw 320i
244,21.5,3,80.0,110.0,2720,13.5,77,Japan,mazda rx-4
245,43.1,4,90.0,48.0,1985,21.5,78,Europe,volkswagen rabbit custom diesel
246,36.1,4,98.0,66.0,1800,14.4,78,USA,ford fiesta
247,32.8,4,78.0,52.0,1985,19.4,78,Japan,mazda glc deluxe
248,39.4,4,85.0,70.0,2070,18.6,78,Japan,datsun b210 gx
249,36.1,4,91.0,60.0,1800,16.4,78,Japan,honda civic cvcc
250,19.9,8,260.0,110.0,3365,15.5,78,USA,oldsmobile cutlass salon brougham
251,19.4,8,318.0,140.0,3735,13.2,78,USA,dodge diplomat
252,20.2,8,302.0,139.0,3570,12.8,78,USA,mercury monarch ghia
253,19.2,6,231.0,105.0,3535,19.2,78,USA,pontiac phoenix lj
254,20.5,6,200.0,95.0,3155,18.2,78,USA,chevrolet malibu
255,20.2,6,200.0,85.0,2965,15.8,78,USA,ford fairmont (auto)
256,25.1,4,140.0,88.0,2720,15.4,78,USA,ford fairmont (man)
257,20.5,6,225.0,100.0,3430,17.2,78,USA,plymouth volare
258,19.4,6,232.0,90.0,3210,17.2,78,USA,amc concord
259,20.6,6,231.0,105.0,3380,15.8,78,USA,buick century special
260,20.8,6,200.0,85.0,3070,16.7,78,USA,mercury zephyr
261,18.6,6,225.0,110.0,3620,18.7,78,USA,dodge aspen
262,18.1,6,258.0,120.0,3410,15.1,78,USA,amc concord d/l
263,19.2,8,305.0,145.0,3425,13.2,78,USA,chevrolet monte carlo landau
264,17.7,6,231.0,165.0,3445,13.4,78,USA,buick regal sport coupe (turbo)
265,18.1,8,302.0,139.0,3205,11.2,78,USA,ford futura
266,17.5,8,318.0,140.0,4080,13.7,78,USA,dodge magnum xe
267,30.0,4,98.0,68.0,2155,16.5,78,USA,chevrolet chevette
268,27.5,4,134.0,95.0,2560,14.2,78,Japan,toyota corona
269,27.2,4,119.0,97.0,2300,14.7,78,Japan,datsun 510
270,30.9,4,105.0,75.0,2230,14.5,78,USA,dodge omni
271,21.1,4,134.0,95.0,2515,14.8,78,Japan,toyota celica gt liftback
272,23.2,4,156.0,105.0,2745,16.7,78,USA,plymouth sapporo
273,23.8,4,151.0,85.0,2855,17.6,78,USA,oldsmobile starfire sx
274,23.9,4,119.0,97.0,2405,14.9,78,Japan,datsun 200-sx
275,20.3,5,131.0,103.0,2830,15.9,78,Europe,audi 5000
276,17.0,6,163.0,125.0,3140,13.6,78,Europe,volvo 264gl
277,21.6,4,121.0,115.0,2795,15.7,78,Europe,saab 99gle
278,16.2,6,163.0,133.0,3410,15.8,78,Europe,peugeot 604sl
279,31.5,4,89.0,71.0,1990,14.9,78,Europe,volkswagen scirocco
280,29.5,4,98.0,68.0,2135,16.6,78,Japan,honda accord lx
281,21.5,6,231.0,115.0,3245,15.4,79,USA,pontiac lemans v6
282,19.8,6,200.0,85.0,2990,18.2,79,USA,mercury zephyr 6
283,22.3,4,140.0,88.0,2890,17.3,79,USA,ford fairmont 4
284,20.2,6,232.0,90.0,3265,18.2,79,USA,amc concord dl 6
285,20.6,6,225.0,110.0,3360,16.6,79,USA,dodge aspen 6
286,17.0,8,305.0,130.0,3840,15.4,79,USA,chevrolet caprice classic
287,17.6,8,302.0,129.0,3725,13.4,79,USA,ford ltd landau
288,16.5,8,351.0,138.0,3955,13.2,79,USA,mercury grand marquis
289,18.2,8,318.0,135.0,3830,15.2,79,USA,dodge st. regis
290,16.9,8,350.0,155.0,4360,14.9,79,USA,buick estate wagon (sw)
291,15.5,8,351.0,142.0,4054,14.3,79,USA,ford country squire (sw)
292,19.2,8,267.0,125.0,3605,15.0,79,USA,chevrolet malibu classic (sw)
293,18.5,8,360.0,150.0,3940,13.0,79,USA,chrysler lebaron town @ country (sw)
294,31.9,4,89.0,71.0,1925,14.0,79,Europe,vw rabbit custom
295,34.1,4,86.0,65.0,1975,15.2,79,Japan,maxda glc deluxe
296,35.7,4,98.0,80.0,1915,14.4,79,USA,dodge colt hatchback custom
297,27.4,4,121.0,80.0,2670,15.0,79,USA,amc spirit dl
298,25.4,5,183.0,77.0,3530,20.1,79,Europe,mercedes benz 300d
299,23.0,8,350.0,125.0,3900,17.4,79,USA,cadillac eldorado
300,27.2,4,141.0,71.0,3190,24.8,79,Europe,peugeot 504
301,23.9,8,260.0,90.0,3420,22.2,79,USA,oldsmobile cutlass salon brougham
302,34.2,4,105.0,70.0,2200,13.2,79,USA,plymouth horizon
303,34.5,4,105.0,70.0,2150,14.9,79,USA,plymouth horizon tc3
304,31.8,4,85.0,65.0,2020,19.2,79,Japan,datsun 210
305,37.3,4,91.0,69.0,2130,14.7,79,Europe,fiat strada custom
306,28.4,4,151.0,90.0,2670,16.0,79,USA,buick skylark limited
307,28.8,6,173.0,115.0,2595,11.3,79,USA,chevrolet citation
308,26.8,6,173.0,115.0,2700,12.9,79,USA,oldsmobile omega brougham
309,33.5,4,151.0,90.0,2556,13.2,79,USA,pontiac phoenix
310,41.5,4,98.0,76.0,2144,14.7,80,Europe,vw rabbit
311,38.1,4,89.0,60.0,1968,18.8,80,Japan,toyota corolla tercel
312,32.1,4,98.0,70.0,2120,15.5,80,USA,chevrolet chevette
313,37.2,4,86.0,65.0,2019,16.4,80,Japan,datsun 310
314,28.0,4,151.0,90.0,2678,16.5,80,USA,chevrolet citation
315,26.4,4,140.0,88.0,2870,18.1,80,USA,ford fairmont
316,24.3,4,151.0,90.0,3003,20.1,80,USA,amc concord
317,19.1,6,225.0,90.0,3381,18.7,80,USA,dodge aspen
318,34.3,4,97.0,78.0,2188,15.8,80,Europe,audi 4000
319,29.8,4,134.0,90.0,2711,15.5,80,Japan,toyota corona liftback
320,31.3,4,120.0,75.0,2542,17.5,80,Japan,mazda 626
321,37.0,4,119.0,92.0,2434,15.0,80,Japan,datsun 510 hatchback
322,32.2,4,108.0,75.0,2265,15.2,80,Japan,toyota corolla
323,46.6,4,86.0,65.0,2110,17.9,80,Japan,mazda glc
324,27.9,4,156.0,105.0,2800,14.4,80,USA,dodge colt
325,40.8,4,85.0,65.0,2110,19.2,80,Japan,datsun 210
326,44.3,4,90.0,48.0,2085,21.7,80,Europe,vw rabbit c (diesel)
327,43.4,4,90.0,48.0,2335,23.7,80,Europe,vw dasher (diesel)
328,36.4,5,121.0,67.0,2950,19.9,80,Europe,audi 5000s (diesel)
329,30.0,4,146.0,67.0,3250,21.8,80,Europe,mercedes-benz 240d
330,44.6,4,91.0,67.0,1850,13.8,80,Japan,honda civic 1500 gl
331,40.9,4,85.0,,1835,17.3,80,Europe,renault lecar deluxe
332,33.8,4,97.0,67.0,2145,18.0,80,Japan,subaru dl
333,29.8,4,89.0,62.0,1845,15.3,80,Europe,vokswagen rabbit
334,32.7,6,168.0,132.0,2910,11.4,80,Japan,datsun 280-zx
335,23.7,3,70.0,100.0,2420,12.5,80,Japan,mazda rx-7 gs
336,35.0,4,122.0,88.0,2500,15.1,80,Europe,triumph tr7 coupe
337,23.6,4,140.0,,2905,14.3,80,USA,ford mustang cobra
338,32.4,4,107.0,72.0,2290,17.0,80,Japan,honda accord
339,27.2,4,135.0,84.0,2490,15.7,81,USA,plymouth reliant
340,26.6,4,151.0,84.0,2635,16.4,81,USA,buick skylark
341,25.8,4,156.0,92.0,2620,14.4,81,USA,dodge aries wagon (sw)
342,23.5,6,173.0,110.0,2725,12.6,81,USA,chevrolet citation
343,30.0,4,135.0,84.0,2385,12.9,81,USA,plymouth reliant
344,39.1,4,79.0,58.0,1755,16.9,81,Japan,toyota starlet
345,39.0,4,86.0,64.0,1875,16.4,81,USA,plymouth champ
346,35.1,4,81.0,60.0,1760,16.1,81,Japan,honda civic 1300
347,32.3,4,97.0,67.0,2065,17.8,81,Japan,subaru
348,37.0,4,85.0,65.0,1975,19.4,81,Japan,datsun 210 mpg
349,37.7,4,89.0,62.0,2050,17.3,81,Japan,toyota tercel
350,34.1,4,91.0,68.0,1985,16.0,81,Japan,mazda glc 4
351,34.7,4,105.0,63.0,2215,14.9,81,USA,plymouth horizon 4
352,34.4,4,98.0,65.0,2045,16.2,81,USA,ford escort 4w
353,29.9,4,98.0,65.0,2380,20.7,81,USA,ford escort 2h
354,33.0,4,105.0,74.0,2190,14.2,81,Europe,volkswagen jetta
355,34.5,4,100.0,,2320,15.8,81,Europe,renault 18i
356,33.7,4,107.0,75.0,2210,14.4,81,Japan,honda prelude
357,32.4,4,108.0,75.0,2350,16.8,81,Japan,toyota corolla
358,32.9,4,119.0,100.0,2615,14.8,81,Japan,datsun 200sx
359,31.6,4,120.0,74.0,2635,18.3,81,Japan,mazda 626
360,28.1,4,141.0,80.0,3230,20.4,81,Europe,peugeot 505s turbo diesel
361,30.7,6,145.0,76.0,3160,19.6,81,Europe,volvo diesel
362,25.4,6,168.0,116.0,2900,12.6,81,Japan,toyota cressida
363,24.2,6,146.0,120.0,2930,13.8,81,Japan,datsun 810 maxima
364,22.4,6,231.0,110.0,3415,15.8,81,USA,buick century
365,26.6,8,350.0,105.0,3725,19.0,81,USA,oldsmobile cutlass ls
366,20.2,6,200.0,88.0,3060,17.1,81,USA,ford granada gl
367,17.6,6,225.0,85.0,3465,16.6,81,USA,chrysler lebaron salon
368,28.0,4,112.0,88.0,2605,19.6,82,USA,chevrolet cavalier
369,27.0,4,112.0,88.0,2640,18.6,82,USA,chevrolet cavalier wagon
370,34.0,4,112.0,88.0,2395,18.0,82,USA,chevrolet cavalier 2-door
371,31.0,4,112.0,85.0,2575,16.2,82,USA,pontiac j2000 se hatchback
372,29.0,4,135.0,84.0,2525,16.0,82,USA,dodge aries se
373,27.0,4,151.0,90.0,2735,18.0,82,USA,pontiac phoenix
374,24.0,4,140.0,92.0,2865,16.4,82,USA,ford fairmont futura
375,23.0,4,151.0,,3035,20.5,82,USA,amc concord dl
376,36.0,4,105.0,74.0,1980,15.3,82,Europe,volkswagen rabbit l
